id,Title,Author,Date,Volume,Pages,DOI,SCOPUS_ID
17,A clearance pipeline-based method for street tree maintenance information detection using MLS data,Liu C.,2022-01-01,37,15324-15346,10.1080/10106049.2022.2097321,SCOPUS_ID:85133920736
18,Gaze focalization system for driving applications using openface 2.0 toolkit with NARMAX algorithm in accidental scenarios,Araluce J.,2021-09-01,21,,10.3390/s21186262,SCOPUS_ID:85115051391
19,Automatic Sounding Generalization Maintaining the Characteristics of Submarine Topography,Li M.,2021-01-01,14,10278-10286,10.1109/JSTARS.2021.3116997,SCOPUS_ID:85118806997
20,Adaptive Cartographic Techniques for Disaster Emergency Services,Du Q.,2020-08-05,45,1117-1125,10.13203/j.whugis20200138,SCOPUS_ID:85089898296
21,Mapping of Traffic Accidents in Labuhanbatu Regency using GIS Support,Watrianthos R.,2020-07-03,1566,,10.1088/1742-6596/1566/1/012104,SCOPUS_ID:85087770874
22,Application of the mobile GIS for the improvement of the knowledge and the management of the road network,Gharbi A.,2020-03-01,12,23-39,10.1007/s12518-019-00279-2,SCOPUS_ID:85069482320
23,Visual spatial analytic method for spatial semantic-enhanced urban traffic data,Yuelong L.,2019-12-01,24,2279-2290,10.11834/jig.190284,SCOPUS_ID:85194737716
24,Study on Automated Aggregation of Depth Contour on Nautical Charts,Li J.,2019-10-05,44,1484-1497,10.13203/j.whugis20180060,SCOPUS_ID:85074453387
25,Data visualisation of vehicle crash using interactive map and data dashboard,Razak M.Z.A.,2019-06-01,14,1405-1411,10.11591/ijeecs.v13.i3.pp1405-1411,SCOPUS_ID:85068560992
26,Visual Analytics of Forest and other Roads Density,Zupan R.,2019-03-04,221,,10.1088/1755-1315/221/1/012069,SCOPUS_ID:85063546447
27,Implementation of Heat Maps in Geographical Information System - Exploratory Study on Traffic Accident Data,Netek R.,2018-01-01,10,367-384,10.1515/geo-2018-0029,SCOPUS_ID:85051926590
28,Cloud based spatial visualization with statistical approach for road accidents,Pritee K.,2017-12-01,25,825-835,10.1007/s41324-017-0148-9,SCOPUS_ID:85075270753
29,Managing Road Safety through the Use of Linked Data and Heat Maps,Colacino V.G.,2017-06-19,Part F129475,,10.1145/3102254.3102273,SCOPUS_ID:85028325859
30,ACM International Conference Proceeding Series,,2017-06-19,Part F129475,,,SCOPUS_ID:85028315786
31,From taxonomies to ontologies: Formalizing generalization knowledge for on-demand mapping,Gould N.,2016-05-26,43,208-222,10.1080/15230406.2015.1072737,SCOPUS_ID:84939511394
32,Preference for map scale of in-car route guidance and navigation system,Ramos A.,2016-01-01,22,472-491,10.1590/S1982-21702016000300027,SCOPUS_ID:84991449224
33,SafeRoadMaps: Communication of location and density of traffic fatalities through spatial visualization and heat map analysis,Hilton B.N.,2011-01-01,10,82-96,10.1057/ivs.2010.14,SCOPUS_ID:80054800141
34,Exploring the Boundaries of Web Map Services: The Example of the Online Injury Atlas for Ontario,Rinner C.,2011-01-01,15,129-145,10.1111/j.1467-9671.2011.01247.x,SCOPUS_ID:79953316615
35,Hospitalization due to motorcycle accicciccidents in the paraíba valley using spatial analysis,Nunes M.,2010-12-01,56,684-687,10.1590/S0104-42302010000600018,SCOPUS_ID:79551591750
36,SS-based sketch recognition for graphics of traffic accident,Zhou Z.,2010-11-29,6,2558-2562,10.1109/FSKD.2010.5569810,SCOPUS_ID:78649315008
37,"Development and analysis of GIS-based road traffic injury database for Karachi, Pakistan",Ali M.,2009-12-01,2,613-622,,SCOPUS_ID:84897659879
38,Technical documentation in traffic technology,Danko C.,2009-01-01,21,359-365,10.7307/ptt.v21i5.251,SCOPUS_ID:70449498809
39,"Spatial analysis of mortality from outside causes in the city of Maringá, 1999-2001",Fonzar U.J.V.,2008-01-01,30,145-154,10.4025/actascihealthsci.v30i2.1900,SCOPUS_ID:59849119362
40,Visualizing moose habitat changes due to infrastructure construction in southern Finland,Krisp J.M.,2004-01-01,35,,,SCOPUS_ID:85044523695
41,"AMERICAN CONGRESS ON SURVEYING AND MAPPING, 33RD ANNUAL MEETING, PROCEEDINGS, 1973.",Keating J.B.,1973-01-01,,,,SCOPUS_ID:85095898790
