,title,author,journal,volume,pagerange,date,doi
Core Terms (used in all domains) + Audience / Application Context ID:15,An intelligent in-vehicle drunk driving prediction system based on e-nose assisted multi-signal fusion technology,Xu Y.,Sensors and Actuators B Chemical,447,,15 January 2026,10.1016/j.snb.2025.138852
Core Terms (used in all domains) + Audience / Application Context ID:16,Mathematical programming models to recommend response plans for traffic incident management,Koronakos G.,Operational Research,26,,January 2026,10.1007/s12351-025-00993-3
Core Terms (used in all domains) + Audience / Application Context ID:17,Do visual attributes of streetscapes affect car crashes? Applications of computer vision techniques and Machine learning,Park J.,Travel Behaviour and Society,42,,January 2026,10.1016/j.tbs.2025.101153
Core Terms (used in all domains) + Audience / Application Context ID:18,Road Safety in Low- and Middle-Income Countries – Analysis and Recommendations,Erdelean I.,Lecture Notes in Mobility,Part F903,182-187,2026,10.1007/978-3-031-88974-5_26
Core Terms (used in all domains) + Audience / Application Context ID:19,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,Lecture Notes in Computer Science,15898 LNCS,87-104,2026,10.1007/978-3-031-97657-5_6
Core Terms (used in all domains) + Audience / Application Context ID:20,Integrating Facial Indicators for Enhanced Road Safety by Using Deep Learning Models,Murthy K.V.S.S.R.,Lecture Notes in Networks and Systems,1623 LNNS,151-163,2026,10.1007/978-3-032-05120-2_14
Core Terms (used in all domains) + Audience / Application Context ID:21,Pedestrian Behavior and Safety Perceptions Among University Students at Signalized Crosswalks,Bouhouras E.,Lecture Notes in Computer Science,15892 LNCS,81-100,2026,10.1007/978-3-031-97638-4_6
Core Terms (used in all domains) + Audience / Application Context ID:22,Using Safety Performance Indicators to Support and Monitor Road Safety Policies – The Role of Trendline,Van den Berghe W.,Lecture Notes in Mobility,Part F903,323-329,2026,10.1007/978-3-031-88974-5_47
Core Terms (used in all domains) + Audience / Application Context ID:23,Criminal Liability of Legal Persons Arising from the Use of Autonomous Vehicles: A Comparative Study,Alkhawatreh A.,Studies in Systems Decision and Control,594,2609-2619,2026,10.1007/978-3-031-89771-9_186
Core Terms (used in all domains) + Audience / Application Context ID:24,Seasonal instability indeterminants of vulnerable road user crashes: a partially temporally constrained modeling approach,Abdulrazaq M.A.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108277
Core Terms (used in all domains) + Software / Tools Mentioned ID:0,Decision Support System for Urban Road Safety: A Comparison Between Two Different City Size,Pinna M.,Lecture Notes in Computer Science,15889 LNCS,54-71,2026,10.1007/978-3-031-97603-2_4
Core Terms (used in all domains) + Software / Tools Mentioned ID:1,Mapping Risk Factors to Build Inclusive Roads: A Systematic Diagnosis for Enhancing Vulnerable Users and Persons with Reduced Mobility Safety,Maestroni D.,Lecture Notes in Computer Science,15898 LNCS,87-104,2026,10.1007/978-3-031-97657-5_6
Core Terms (used in all domains) + Software / Tools Mentioned ID:2,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,Lecture Notes in Computer Science,15896 LNCS,401-418,2026,10.1007/978-3-031-97654-4_25
Core Terms (used in all domains) + Software / Tools Mentioned ID:3,Spatiotemporal and behavioural correlates of cycling near misses: evidence from helmet-mounted video data,Christie N.,Accident Analysis and Prevention,224,,January 2026,10.1016/j.aap.2025.108272
Core Terms (used in all domains) + Software / Tools Mentioned ID:4,Interactions Between Drivers and Road Infrastructure Characteristics: Combining OBD and Geographic Data to Classify Driver Behaviors with Feed-Forward Neural Network,Nicolosi V.,Lecture Notes in Computer Science,15892 LNCS,51-64,2026,10.1007/978-3-031-97638-4_4
Core Terms (used in all domains) + Software / Tools Mentioned ID:5,A systematic review on GIS-based road traffic accidents analysis and road safety audit,Endashaw D.K.,Computational Urban Science,5,,December 2025,10.1007/s43762-025-00221-w
Core Terms (used in all domains) + Software / Tools Mentioned ID:6,Determining the Spatial and Temporal Distribution of Traffic Accidents Using GIS-based Data in Tabriz,Dianat I.,Iranian Journal of Epidemiology,20,219-232,Winter 2025,10.18502/ijre.v20i4.18869
Core Terms (used in all domains) + Software / Tools Mentioned ID:7,Epidemiology of pediatric road traffic injuries: a multicenter hospital-based study in Ghana,Appiah A.B.,Injury Epidemiology,12,,December 2025,10.1186/s40621-025-00646-1
Core Terms (used in all domains) + Software / Tools Mentioned ID:8,"Spatiotemporal modeling and mapping of traffic crashes using R programming and GIS: a case study of Bole sub city, Addis Ababa, Ethiopia",Haile M.N.,Scientific Reports,15,,December 2025,10.1038/s41598-025-19651-x
Core Terms (used in all domains) + Software / Tools Mentioned ID:9,How does the built environment affect driver behaviours? A methodological framework for large-scale analysis that combines Onboard Diagnostic and Geographical Data to promote Road Safety,Nicolosi V.,Transportation Engineering,22,,December 2025,10.1016/j.treng.2025.100384
Core Terms (used in all domains) + Software / Tools Mentioned ID:10,Evaluation of snow-drifting influencing factors and susceptibility of transportation infrastructure lines,Li P.,Scientific Reports,15,,December 2025,10.1038/s41598-025-86207-4
Core Terms (used in all domains) + Software / Tools Mentioned ID:11,Women's perceived safety in public transport: Insights from the Middle East,Soltani A.,Journal of Transport Geography,129,,December 2025,10.1016/j.jtrangeo.2025.104413
Core Terms (used in all domains) + Software / Tools Mentioned ID:12,Integrating climatic projections and geographical variables to predict road accident risks based on insights from the Khorramabad pole Zal axis under RCP scenarios,Moridi V.,Discover Environment,3,,December 2025,10.1007/s44274-025-00417-1
Core Terms (used in all domains) + Software / Tools Mentioned ID:13,On the road to school: A naturalistic study of adolescent bicyclist route safety,Ghanbari A.,Journal of Safety Research,95,1-9,December 2025,10.1016/j.jsr.2025.08.006
Core Terms (used in all domains) + Software / Tools Mentioned ID:14,Analyzing pocket park locations and pedestrian accident rates using Generative Adversarial Networks,Li Y.,Cities,167,,December 2025,10.1016/j.cities.2025.106341
Core Terms (used in all domains) + Software / Tools Mentioned ID:15,Slower searching yields higher efficiency: A case study of taxi drivers,Li Q.,Proceedings of the National Academy of Sciences of the United States of America,122,,4 November 2025,10.1073/pnas.2502965122
Core Terms (used in all domains) + Software / Tools Mentioned ID:16,Cognitive-Inspired Multimodal Learning Framework for Hazard Identification in Highway Construction with BIM–GIS Integration,Zhou J.,Sustainability Switzerland,17,,November 2025,10.3390/su17219395
Core Terms (used in all domains) + Software / Tools Mentioned ID:17,"Evaluating the impact of meteorological parameters on road accidents using spatial analysis: a case study of Semnan province, Iran",Ghazvinian H.,Spatial Information Research,33,,October 2025,10.1007/s41324-025-00645-w
Core Terms (used in all domains) + Software / Tools Mentioned ID:18,Analysis of Spatial and Environmental Factors Beyond Speed Limits Affecting Drivers’ Speed Choice,Baek J.,Sustainability Switzerland,17,,October 2025,10.3390/su17209097
Core Terms (used in all domains) + Software / Tools Mentioned ID:19,A data-driven spatial decision framework for assessing the relationship between logistics activities and heavy vehicle accident risks,Kaya Ö.,Research in Transportation Business and Management,62,,October 2025,10.1016/j.rtbm.2025.101440
Core Terms (used in all domains) + Software / Tools Mentioned ID:20,Early Response Framework for Accident Detection and Prevention Through Multi-Zone Fog-Cloud Collaboration for Safety-Critical Applications,Mishra M.,Software Practice and Experience,55,1616-1634,September 2025,10.1002/spe.3439
Core Terms (used in all domains) + Software / Tools Mentioned ID:21,"Evaluation of indicators of aging-friendly urban indicators in 8 districts of Ahwaz metropolitan, southwest Iran",Asadollahi A.,Discover Applied Sciences,7,,September 2025,10.1007/s42452-025-07514-z
Core Terms (used in all domains) + Software / Tools Mentioned ID:22,Integrating UAV-based LiDAR and imaging data for semi-automated detection of water ponding in pavement networks,Shwan H.,Canadian Journal of Civil Engineering,52,1732-1742,September 2025,10.1139/cjce-2024-0539
Core Terms (used in all domains) + Output Type ID:0,A frequency-attentive spatio-temporal convolutional neural network with weighted feature fusion for EEG-based driver fatigue detection,Bello I.,Biomedical Signal Processing and Control,113,,March 2026,10.1016/j.bspc.2025.108979
Core Terms (used in all domains) + Output Type ID:1,Desirable bikeways from the perspective of perceived safety using the ‘Hiyari Hatto Map’ in Japan,Tsuchiya K.,Case Studies on Transport Policy,23,,March 2026,10.1016/j.cstp.2025.101665
Core Terms (used in all domains) + Output Type ID:2,Surgical management of paediatric frontal fractures with and without sinus pneumatisation: a multicentre study,Sobrero F.,Journal of Stomatology Oral and Maxillofacial Surgery,127,,March 2026,10.1016/j.jormas.2025.102607
Core Terms (used in all domains) + Output Type ID:3,Multi-layer dynamic network model of traffic flow in terminal area and complexity analysis,Yating P.,Journal of Air Transport Management,131,,March 2026,10.1016/j.jairtraman.2025.102881
Core Terms (used in all domains) + Output Type ID:4,Multi-factor coupled friction coefficient map spatiotemporal modeling and driving risk fusion for rainy roads,Yang L.,Accident Analysis and Prevention,225,,February 2026,10.1016/j.aap.2025.108313
Core Terms (used in all domains) + Output Type ID:5,An anchor-free automatic evaluation system for pavement surface distress using UAV aerial photograph,Yang T.,Measurement Journal of the International Measurement Confederation,259,,1 February 2026,10.1016/j.measurement.2025.119669
Core Terms (used in all domains) + Output Type ID:6,YOLO-RD: Road defect detection with context-aware attention and balanced loss,Wang P.,Neurocomputing,662,,21 January 2026,10.1016/j.neucom.2025.132000
Core Terms (used in all domains) + Output Type ID:7,GPS-Based Toll Tracking and Speed Monitoring System,Jawale P.,Lecture Notes in Networks and Systems,1459 LNNS,335-346,2026,10.1007/978-981-96-7505-0_26
Core Terms (used in all domains) + Output Type ID:8,"Actors, roles and responsibilities for speed management: A systems-based analysis of key stakeholders in Sweden and Queensland, Australia",Keller M.E.,Safety Science,193,,January 2026,10.1016/j.ssci.2025.107012
Core Terms (used in all domains) + Output Type ID:9,Road Accidents - Study of the Evolution and Mapping of Accidents Within the Municipality of Cagliari – Italy,Rassu N.,Lecture Notes in Computer Science,15896 LNCS,401-418,2026,10.1007/978-3-031-97654-4_25
